Time (s),Channel 1 (V)
-0.051200000000000002,4.0762092805939121
-0.051187499999999997,4.0762092805939121
-0.051174999999999998,4.0762092805939121
-0.0511625,4.0762092805939121
-0.051150000000000001,4.0799001777801669
-0.051137500000000002,4.0762092805939121
-0.051124999999999997,4.0799001777801722
-0.051112499999999998,4.0909728693389322
-0.0511,4.1057364580839533
-0.051087500000000001,4.1205000468289734
-0.051075000000000002,4.1389545327602493
-0.051062499999999997,4.1647908130640507
-0.051049999999999998,4.1980088877403325
-0.0510375,4.2090815792990979
-0.051025000000000001,4.2312269624166294
-0.051012500000000002,4.2533723455341601
-0.050999999999999997,4.2865904202104685
-0.050987499999999998,4.3124267005142434
-0.050974999999999999,4.3271902892592635
-0.050962500000000001,4.3456447751905394
-0.050950000000000002,4.3530265695630499
-0.050937499999999997,4.3640992611218206
-0.050924999999999998,4.3751719526805815
-0.050912499999999999,4.4194627189156428
-0.050900000000000001,4.4379172048469187
-0.050887500000000002,4.4342263076606638
-0.050874999999999997,4.4452989992194389
-0.050862499999999998,4.4674443823369607
-0.050849999999999999,4.4674443823369607
-0.050837500000000001,4.463753485150705
-0.050825000000000002,4.463753485150705
-0.050812499999999997,4.4711352795232191
-0.050799999999999998,4.4785170738957261
-0.050787499999999999,4.4932806626407462
-0.050775000000000001,4.4969715598270019
-0.050762500000000002,4.5043533541995124
-0.050750000000000003,4.5228078401307803
-0.050737499999999998,4.544953223248319
-0.050724999999999999,4.5523350176208295
-0.050712500000000001,4.5523350176208295
-0.050700000000000002,4.5523350176208295
-0.050687500000000003,4.5634077091795895
-0.050674999999999998,4.5855530922971264
-0.050662499999999999,4.592934886669636
-0.050650000000000001,4.5818621951108707
-0.050637500000000002,4.5781712979246159
-0.050625000000000003,4.5781712979246159
-0.050612499999999998,4.5855530922971264
-0.050599999999999999,4.5744804007383602
-0.050587500000000001,4.5892439894833812
-0.050575000000000002,4.5818621951108707
-0.050562500000000003,4.5781712979246176
-0.050549999999999998,4.5707895035521053
-0.050537499999999999,4.5560259148070843
-0.050525,4.5486441204345747
-0.050512500000000002,4.5375714288758084
-0.050500000000000003,4.5264987373170484
-0.050487499999999998,4.5117351485720221
-0.050474999999999999,4.4969715598270019
-0.0504625,4.4748261767094704
-0.050450000000000002,4.4452989992194292
-0.050437500000000003,4.4342263076606692
-0.050424999999999998,4.4379172048469187
-0.050412499999999999,4.4342263076606638
-0.0504,4.4268445132881533
-0.050387500000000002,4.415771821729388
-0.050375000000000003,4.415771821729388
-0.050362499999999998,4.430535410474409
-0.050349999999999999,4.4416081020331744
-0.0503375,4.463753485150705
-0.050325000000000002,4.4711352795232155
-0.050312500000000003,4.4748261767094686
-0.050299999999999997,4.4969715598270019
-0.050287499999999999,4.5264987373170431
-0.050275,4.5301896345032979
-0.050262500000000002,4.5375714288758084
-0.050250000000000003,4.5486441204345693
-0.050237499999999997,4.5560259148070843
-0.050224999999999999,4.5375714288758084
-0.0502125,4.5191169429445326
-0.050200000000000002,4.5228078401307883
-0.050187500000000003,4.5117351485720274
-0.050174999999999997,4.5191169429445326
-0.050162499999999999,4.5301896345032979
-0.05015,4.5301896345032979
-0.050137500000000002,4.5154260457582778
-0.050125000000000003,4.5006624570132638
-0.050112499999999997,4.5191169429445326
-0.050099999999999999,4.544953223248319
-0.0500875,4.55971681199334
-0.050075000000000001,4.5781712979246159
-0.050062500000000003,4.55971681199334
-0.050049999999999997,4.5744804007383602
-0.050037499999999999,4.5855530922971264
-0.050025,4.5892439894833812
-0.050012500000000001,4.5855530922971264
-0.050000000000000003,4.592934886669636
-0.049987499999999997,4.592934886669636
-0.049974999999999999,4.5855530922971264
-0.0499625,4.5707895035521053
-0.049950000000000001,4.55971681199334
-0.049937500000000003,4.5301896345032979
-0.049924999999999997,4.4895897654544914
-0.049912499999999999,4.4895897654544914
-0.0499,4.4785170738957261
-0.049887500000000001,4.463753485150705
-0.049875000000000003,4.4526807935919397
-0.049862499999999997,4.4342263076606558
-0.049849999999999998,4.415771821729388
-0.0498375,4.4083900273568775
-0.049825000000000001,4.4010082329843669
-0.049812500000000003,4.3899355414256016
-0.049799999999999997,4.3862446442393468
-0.049787499999999998,4.3862446442393468
-0.049775,4.3677901583080709
-0.049762500000000001,4.319808494886753
-0.049750000000000003,4.2828995230242013
-0.049737499999999997,4.268135934279174
-0.049724999999999998,4.2533723455341601
-0.0497125,4.2422996539753948
-0.049700000000000001,4.2164633736716084
-0.049687500000000002,4.1795544018090567
-0.049674999999999997,4.1500272243190102
-0.049662499999999998,4.1389545327602493
-0.04965,4.1500272243190155
-0.049637500000000001,4.142645429946505
-0.049625000000000002,4.1278818412014839
-0.049612499999999997,4.1168091496427186
-0.049599999999999998,4.1168091496427186
-0.0495875,4.1168091496427186
-0.049575000000000001,4.1094273552702081
-0.049562500000000002,4.0983546637114427
-0.049549999999999997,4.0909728693389305
